questions,ground_truth,modus,types_of_relation,atomic_idx,dataset_id,a,b,c
"If John dons medical gloves, then John conducts patient exams
John dons medical gloves

What necessarily had to follow assuming that the above premises were true?
(a) John conducts patient exams
(b) John does not conduct patient exams
(c) John may or may not conduct patient exams",a,ponens,If-Event-Then-Event,92,162-strong,John conducts patient exams.,John does not conduct patient exams.,John may or may not conduct patient exams.
"If John shares detailed treatment options with Jessica, then Jessica's health concerns are addressed
John shares detailed treatment options with Jessica

What necessarily had to follow assuming that the above premises were true?
(a) Jessica's health concerns are addressed
(b) Jessica's health concerns are not addressed
(c) Jessica's health concerns may or may not be addressed",a,ponens,If-Event-Then-Event,93,163-strong,Jessica's health concerns are addressed.,Jessica's health concerns are not addressed.,Jessica's health concerns may or may not be addressed.
"If John shares detailed treatment schedules with Jessica, then John will book the next meeting
John shares detailed treatment schedules with Jessica

What necessarily had to follow assuming that the above premises were true?
(a) John will book the next meeting
(b) John will not book the next meeting
(c) John may or may not book the next meeting",a,ponens,If-Event-Then-Event,93,164-strong,John will book the next meeting.,John will not book the next meeting.,John may or may not book the next meeting.
"If John explains treatment steps to a patient, then Jessica will have a brief meeting with John
John explains treatment steps to a patient

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will have a brief meeting with John
(b) Jessica will not have a brief meeting with John
(c) Jessica may or may not have a brief meeting with John",a,ponens,If-Event-Then-Event,93,165-strong,Jessica will have a brief meeting with John.,Jessica will not have a brief meeting with John.,Jessica may or may not have a brief meeting with John.
"If John shares a treatment protocol, then Jessica will adhere to it
John shares a treatment protocol

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will adhere to it
(b) Jessica will not adhere to it
(c) Jessica may or may not adhere to it",a,ponens,If-Event-Then-Event,93,166-strong,Jessica will adhere to it.,Jessica will not adhere to it.,Jessica may or may not adhere to it.
"If John asks patients about their specific symptoms, then John administers the appropriate medication for those symptoms to the patients
John asks patients about their specific symptoms

What necessarily had to follow assuming that the above premises were true?
(a) John administers the appropriate medication for those symptoms to the patients
(b) John does not administer the appropriate medication for those symptoms to the patients
(c) John may or may not administer the appropriate medication for those symptoms to the patients",a,ponens,If-Event-Then-Event,93,167-strong,John administers the appropriate medication for those symptoms to the patients,John does not administer the appropriate medication for those symptoms to the patients,John may or may not administer the appropriate medication for those symptoms to the patients
"If John asks patients about their specific symptoms, then John prescribes appropriate medication and sets up a next visit date
John asks patients about their specific symptoms

What necessarily had to follow assuming that the above premises were true?
(a) John prescribes appropriate medication and sets up a next visit date
(b) John does not prescribe appropriate medication and set up a next visit date
(c) John may or may not prescribe appropriate medication and set up a next visit date",a,ponens,If-Event-Then-Event,93,168-strong,John prescribes appropriate medication and sets up a next visit date,John does not prescribe appropriate medication and set up a next visit date,John may or may not prescribe appropriate medication and set up a next visit date
"If John inquires about patients' specific needs, then John administers targeted care, leading to a scheduled consultation between Jessica and John
John inquires about patients' specific needs

What necessarily had to follow assuming that the above premises were true?
(a) John administers targeted care, leading to a scheduled consultation between Jessica and John
(b) John does not administer targeted care, leading to no scheduled consultation between Jessica and John
(c) John administers targeted care, which may or may not lead to a scheduled consultation between Jessica and John",a,ponens,If-Event-Then-Event,93,169-strong,"John administers targeted care, leading to a scheduled consultation between Jessica and John","John does not administer targeted care, leading to no scheduled consultation between Jessica and John","John administers targeted care, which may or may not lead to a scheduled consultation between Jessica and John"
"If John asks patients about their specific symptoms, then Jessica will mimic John's questioning approach
John asks patients about their specific symptoms

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will mimic John's questioning approach
(b) Jessica will not mimic John's questioning approach
(c) Jessica may or may not mimic John's questioning approach",a,ponens,If-Event-Then-Event,93,170-strong,Jessica will mimic John's questioning approach,Jessica will not mimic John's questioning approach,Jessica may or may not mimic John's questioning approach
"If John visits hospital patients to bid them farewell, then John is saying goodbye to those patients
John visits hospital patients to bid them farewell

What necessarily had to follow assuming that the above premises were true?
(a) John is saying goodbye to those patients
(b) John is not saying goodbye to those patients
(c) John may or may not be saying goodbye to those patients",a,ponens,If-Event-Then-Event,94,171-strong,John is saying goodbye to those patients.,John is not saying goodbye to those patients.,John may or may not be saying goodbye to those patients.
"If John visits HospitalA to sit with PatientB, then PatientB thanks John for their company
John visits HospitalA to sit with PatientB

What necessarily had to follow assuming that the above premises were true?
(a) PatientB thanks John for their company
(b) PatientB does not thank John for their company
(c) PatientB may or may not thank John for their company",a,ponens,If-Event-Then-Event,94,172-strong,PatientB thanks John for their company.,PatientB does not thank John for their company.,PatientB may or may not thank John for their company.
"If John visits and treats Jessica's sick cat, then Jessica will thank John for the help
John visits and treats Jessica's sick cat

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will thank John for the help
(b) Jessica will not thank John for the help
(c) Jessica may or may not thank John for the help",a,ponens,If-Event-Then-Event,94,173-strong,Jessica will thank John for the help.,Jessica will not thank John for the help.,Jessica may or may not thank John for the help.
"If John volunteers at the hospital, then Jessica will give John a hug
John volunteers at the hospital

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will give John a hug
(b) Jessica will not give John a hug
(c) Jessica may or may not give John a hug",a,ponens,If-Event-Then-Event,94,174-strong,Jessica will give John a hug.,Jessica will not give John a hug.,Jessica may or may not give John a hug.
"If John says ""Hello"" to each patient in the morning, then John will be able to say ""Goodbye"" to each patient in the evening
John says ""Hello"" to each patient in the morning

What necessarily had to follow assuming that the above premises were true?
(a) John will be able to say ""Goodbye"" to each patient in the evening
(b) John will not be able to say ""Goodbye"" to each patient in the evening
(c) John may or may not be able to say ""Goodbye"" to each patient in the evening",a,ponens,If-Event-Then-Event,94,175-strong,"John will be able to say ""Goodbye"" to each patient in the evening.","John will not be able to say ""Goodbye"" to each patient in the evening.","John may or may not be able to say ""Goodbye"" to each patient in the evening."
"If ""If John says ""Hello"" to patients, then patients respond with ""Thank you, John.""
""If John says ""Hello"" to patients

What necessarily had to follow assuming that the above premises were true?
(a) Patients respond with ""Thank you, John.""
(b) Patients do not respond with ""Thank you, John.""
(c) Patients may or may not respond with ""Thank you, John.""",a,ponens,If-Event-Then-Event,94,176-strong,"Patients respond with ""Thank you, John.""","Patients do not respond with ""Thank you, John.""","Patients may or may not respond with ""Thank you, John."""
"If John says ""hello"" to patients, then Jessica will say ""thank you"" to John
John says ""hello"" to patients

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will say ""thank you"" to John
(b) Jessica will not say ""thank you"" to John
(c) Jessica may or may not say ""thank you"" to John",a,ponens,If-Event-Then-Event,94,177-strong,"Jessica will say ""thank you"" to John.","Jessica will not say ""thank you"" to John.","Jessica may or may not say ""thank you"" to John."
"If John says ""hello"" to patients, then Jessica gives John a hug
John says ""hello"" to patients

What necessarily had to follow assuming that the above premises were true?
(a) Jessica gives John a hug
(b) Jessica does not give John a hug
(c) Jessica may or may not give John a hug",a,ponens,If-Event-Then-Event,94,178-strong,Jessica gives John a hug.,Jessica does not give John a hug.,Jessica may or may not give John a hug.
"If John clearly describes how to make scrambled eggs, then Jessica understands and nods
John clearly describes how to make scrambled eggs

What necessarily had to follow assuming that the above premises were true?
(a) Jessica understands and nods
(b) Jessica does not understand and does not nod
(c) Jessica may or may not understand and nod",a,ponens,If-Event-Then-MentalState,97,179-strong,Jessica understands and nods.,Jessica does not understand and does not nod.,Jessica may or may not understand and nod.
"If John explains calculus basics to Jessica, then Jessica will understand the lesson
John explains calculus basics to Jessica

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will understand the lesson
(b) Jessica will not understand the lesson
(c) Jessica may or may not understand the lesson",a,ponens,If-Event-Then-MentalState,98,180-strong,Jessica will understand the lesson.,Jessica will not understand the lesson.,Jessica may or may not understand the lesson.
"If John provides a succinct explanation of the concept to Jessica, then Jessica gains clarity
John provides a succinct explanation of the concept to Jessica

What necessarily had to follow assuming that the above premises were true?
(a) Jessica gains clarity
(b) Jessica does not gain clarity
(c) Jessica may or may not gain clarity",a,ponens,If-Event-Then-MentalState,98,181-strong,Jessica gains clarity.,Jessica does not gain clarity.,Jessica may or may not gain clarity.
"If John summarizes the problem in a meeting, then John feels informed and fair
John summarizes the problem in a meeting

What necessarily had to follow assuming that the above premises were true?
(a) John feels informed and fair
(b) John does not feel informed and fair
(c) John may or may not feel informed and fair",a,ponens,If-Event-Then-MentalState,99,182-strong,John feels informed and fair.,John does not feel informed and fair.,John may or may not feel informed and fair.
"If John summarizes the significance of recycling, then Jessica will understand its benefits
John summarizes the significance of recycling

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will understand its benefits
(b) Jessica will not understand its benefits
(c) Jessica may or may not understand its benefits",a,ponens,If-Event-Then-MentalState,99,183-strong,Jessica will understand its benefits,Jessica will not understand its benefits,Jessica may or may not understand its benefits
"If John reviews the lecture's main points, then John can respond to queries
John reviews the lecture's main points

What necessarily had to follow assuming that the above premises were true?
(a) John can respond to queries
(b) John cannot respond to queries. 
(c) John may or may not respond to queries",a,ponens,If-Event-Then-Event,102,184-strong,John can respond to queries.,John cannot respond to queries. ,John may or may not respond to queries.
"If John summarizes the main points of the upcoming lecture, then Jessica can complete the related assignment
John summarizes the main points of the upcoming lecture

What necessarily had to follow assuming that the above premises were true?
(a) Jessica can complete the related assignment
(b) Jessica cannot complete the related assignment
(c) Jessica may or may not be able to complete the related assignment",a,ponens,If-Event-Then-Event,102,185-strong,Jessica can complete the related assignment.,Jessica cannot complete the related assignment.,Jessica may or may not be able to complete the related assignment.
"If John says they're going to class to learn Chapter 3, then Jessica understands why John can answer chapter-related questions
John says they're going to class to learn Chapter 3

What necessarily had to follow assuming that the above premises were true?
(a) Jessica understands why John can answer chapter-related questions
(b) Jessica does not understand why John can answer chapter-related questions
(c) Jessica may or may not understand why John can answer chapter-related questions",a,ponens,If-Event-Then-Event,102,186-strong,Jessica understands why John can answer chapter-related questions.,Jessica does not understand why John can answer chapter-related questions.,Jessica may or may not understand why John can answer chapter-related questions.
"If John mentions a math lecture, then Jessica can solve algebra problems
John mentions a math lecture

What necessarily had to follow assuming that the above premises were true?
(a) Jessica can solve algebra problems
(b) Jessica cannot solve algebra problems. 
(c) Jessica may or may not be able to solve algebra problems",a,ponens,If-Event-Then-Event,102,187-strong,Jessica can solve algebra problems.,Jessica cannot solve algebra problems. ,Jessica may or may not be able to solve algebra problems.
"If John clearly explains photosynthesis, then John can answer questions about it
John clearly explains photosynthesis

What necessarily had to follow assuming that the above premises were true?
(a) John can answer questions about it
(b) John cannot answer questions about it
(c) John may or may not be able to answer questions about it",a,ponens,If-Event-Then-Event,103,188-strong,John can answer questions about it.,John cannot answer questions about it.,John may or may not be able to answer questions about it.
"If John constructs a concise summary of photosynthesis, then John briefly outlines the process in which plants convert sunlight into energy to Jessica
John constructs a concise summary of photosynthesis

What necessarily had to follow assuming that the above premises were true?
(a) John briefly outlines the process in which plants convert sunlight into energy to Jessica
(b) John does not outline the process in which plants convert sunlight into energy to Jessica
(c) John may or may not briefly outline the process in which plants convert sunlight into energy to Jessica",a,ponens,If-Event-Then-Event,103,189-strong,John briefly outlines the process in which plants convert sunlight into energy to Jessica.,John does not outline the process in which plants convert sunlight into energy to Jessica.,John may or may not briefly outline the process in which plants convert sunlight into energy to Jessica.
"If John outlines how to bake bread, then Jessica will inquire about the recipe details
John outlines how to bake bread

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will inquire about the recipe details
(b) Jessica will not inquire about the recipe details
(c) Jessica may or may not inquire about the recipe details",a,ponens,If-Event-Then-Event,103,190-strong,Jessica will inquire about the recipe details.,Jessica will not inquire about the recipe details.,Jessica may or may not inquire about the recipe details.
"If John summarizes photosynthesis, then Jessica understands it
John summarizes photosynthesis

What necessarily had to follow assuming that the above premises were true?
(a) Jessica understands it
(b) Jessica does not understand it
(c) Jessica may or may not understand it",a,ponens,If-Event-Then-Event,103,191-strong,Jessica understands it.,Jessica does not understand it.,Jessica may or may not understand it.
"If John meets with Jessica for a quick discussion, then John succinctly explains the topic to Jessica and responds to any immediate queries
John meets with Jessica for a quick discussion

What necessarily had to follow assuming that the above premises were true?
(a) John succinctly explains the topic to Jessica and responds to any immediate queries
(b) John does not succinctly explain the topic to Jessica and does not respond to any immediate queries
(c) John may or may not succinctly explain the topic to Jessica and may or may not respond to any immediate queries",a,ponens,If-Event-Then-Event,103,192-strong,John succinctly explains the topic to Jessica and responds to any immediate queries.,John does not succinctly explain the topic to Jessica and does not respond to any immediate queries.,John may or may not succinctly explain the topic to Jessica and may or may not respond to any immediate queries.
"If John summarizes the topic, then John will elaborate on the topic
John summarizes the topic

What necessarily had to follow assuming that the above premises were true?
(a) John will elaborate on the topic
(b) John will not elaborate on the topic
(c) John may or may not elaborate on the topic",a,ponens,If-Event-Then-Event,103,193-strong,John will elaborate on the topic.,John will not elaborate on the topic.,John may or may not elaborate on the topic.
"If John gives a concise explanation of photosynthesis, then Jessica will inquire about chlorophyll
John gives a concise explanation of photosynthesis

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will inquire about chlorophyll
(b) Jessica will not inquire about chlorophyll
(c) Jessica may or may not inquire about chlorophyll",a,ponens,If-Event-Then-Event,103,194-strong,Jessica will inquire about chlorophyll.,Jessica will not inquire about chlorophyll.,Jessica may or may not inquire about chlorophyll.
"If John succinctly explains algebra, then Jessica will understand algebra
John succinctly explains algebra

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will understand algebra
(b) Jessica will not understand algebra
(c) Jessica may or may not understand algebra",a,ponens,If-Event-Then-Event,103,195-strong,Jessica will understand algebra.,Jessica will not understand algebra.,Jessica may or may not understand algebra.
"If John bakes a cake on their own, then John feels proud
John bakes a cake on their own

What necessarily had to follow assuming that the above premises were true?
(a) John feels proud
(b) John does not feel proud
(c) John may or may not feel proud",a,ponens,If-Event-Then-MentalState,107,196-strong,John feels proud.,John does not feel proud.,John may or may not feel proud.
"If John decides to sell their shared car without asking Jessica, then Jessica sees it as sneaky
John decides to sell their shared car without asking Jessica

What necessarily had to follow assuming that the above premises were true?
(a) Jessica sees it as sneaky
(b) Jessica does not see it as sneaky
(c) Jessica may or may not see it as sneaky",a,ponens,If-Event-Then-MentalState,107,197-strong,Jessica sees it as sneaky.,Jessica does not see it as sneaky.,Jessica may or may not see it as sneaky.
"If John eats the last cookie without asking Jessica, then John must apologize
John eats the last cookie without asking Jessica

What necessarily had to follow assuming that the above premises were true?
(a) John must apologize
(b) John must not apologize
(c) John may or may not apologize",a,ponens,If-Event-Then-MentalState,108,198-strong,John must apologize.,John must not apologize.,John may or may not apologize.
"If John makes a decision without asking Jessica, then Jessica won't offer guidance to John
John makes a decision without asking Jessica

What necessarily had to follow assuming that the above premises were true?
(a) Jessica won't offer guidance to John
(b) Jessica will offer guidance to John
(c) Jessica may or may not offer guidance to John",a,ponens,If-Event-Then-Event,113,199-strong,Jessica won't offer guidance to John.,Jessica will offer guidance to John.,Jessica may or may not offer guidance to John.
"If John makes a decision alone, then Jessica is not needed for advice
John makes a decision alone

What necessarily had to follow assuming that the above premises were true?
(a) Jessica is not needed for advice
(b) Jessica is needed for advice
(c) Jessica may or may not be needed for advice",a,ponens,If-Event-Then-Event,113,200-strong,Jessica is not needed for advice.,Jessica is needed for advice.,Jessica may or may not be needed for advice.
"If John chooses to seek advice before taking action, then if John acts without asking, they will miss out on guidance
John chooses to seek advice before taking action

What necessarily had to follow assuming that the above premises were true?
(a) If John acts without asking, they will miss out on guidance
(b) If John acts without asking, they will not miss out on guidance
(c) If John acts without asking, they may or may not miss out on guidance",a,ponens,If-Event-Then-Event,113,201-strong,"If John acts without asking, they will miss out on guidance","If John acts without asking, they will not miss out on guidance","If John acts without asking, they may or may not miss out on guidance"
"If If John chooses to consult with Jessica before every decision, then not consulting Jessica will lower the chances of dependability on Jessica's input
If John chooses to consult with Jessica before every decision

What necessarily had to follow assuming that the above premises were true?
(a) Consulting Jessica will lower the chances of dependability on Jessica's input
(b) Not consulting Jessica will not lower the chances of dependability on Jessica's input
(c) Consulting Jessica may or may not lower the chances of dependability on Jessica's input",a,ponens,If-Event-Then-Event,113,202-strong,Consulting Jessica will lower the chances of dependability on Jessica's input.,Not consulting Jessica will not lower the chances of dependability on Jessica's input.,Consulting Jessica may or may not lower the chances of dependability on Jessica's input.
"If John waits 30 minutes before making a decision, then John will not send an impulsive email
John waits 30 minutes before making a decision

What necessarily had to follow assuming that the above premises were true?
(a) John will not send an impulsive email
(b) John will send an impulsive email
(c) John may or may not send an impulsive email",a,ponens,If-Event-Then-Event,114,203-strong,John will not send an impulsive email.,John will send an impulsive email.,John may or may not send an impulsive email.
"If John plays a single round of a mobile puzzle game to learn patience, then John will feel satisfied with their choice
John plays a single round of a mobile puzzle game to learn patience

What necessarily had to follow assuming that the above premises were true?
(a) John will feel satisfied with their choice
(b) John will not feel satisfied with their choice
(c) John may or may not feel satisfied with their choice",a,ponens,If-Event-Then-Event,114,204-strong,John will feel satisfied with their choice.,John will not feel satisfied with their choice.,John may or may not feel satisfied with their choice.
"If John proceeds with caution, then John decides alone and avoids impulsive actions
John proceeds with caution

What necessarily had to follow assuming that the above premises were true?
(a) John decides alone and avoids impulsive actions
(b) John does not decide alone and does not avoid impulsive actions
(c) John may or may not decide alone and may or may not avoid impulsive actions",a,ponens,If-Event-Then-Event,114,205-strong,John decides alone and avoids impulsive actions.,John does not decide alone and does not avoid impulsive actions.,John may or may not decide alone and may or may not avoid impulsive actions.
"If John double-checks their work before submission, then John will be confident in their work quality
John double-checks their work before submission

What necessarily had to follow assuming that the above premises were true?
(a) John will be confident in their work quality
(b) John will not be confident in their work quality
(c) John may or may not be confident in their work quality",a,ponens,If-Event-Then-Event,114,206-strong,John will be confident in their work quality.,John will not be confident in their work quality.,John may or may not be confident in their work quality.
"If John issues three fair rulings as a judge, then John has acted justly
John issues three fair rulings as a judge

What necessarily had to follow assuming that the above premises were true?
(a) John has acted justly
(b) John has not acted justly
(c) John may or may not have acted justly",a,ponens,If-Event-Then-MentalState,118,207-strong,John has acted justly.,John has not acted justly.,John may or may not have acted justly.
"If John writes correct paychecks in his role as a payroll clerk, then Jessica is pleased with the received salary
John writes correct paychecks in his role as a payroll clerk

What necessarily had to follow assuming that the above premises were true?
(a) Jessica is pleased with the received salary
(b) Jessica is not pleased with the received salary
(c) Jessica may or may not be pleased with the received salary",a,ponens,If-Event-Then-MentalState,118,208-strong,Jessica is pleased with the received salary.,Jessica is not pleased with the received salary.,Jessica may or may not be pleased with the received salary.
"If John declares a repayment order, then Jessica repays their debt
John declares a repayment order

What necessarily had to follow assuming that the above premises were true?
(a) Jessica repays their debt
(b) Jessica does not repay their debt
(c) Jessica may or may not repay their debt",a,ponens,If-Event-Then-Event,122,209-strong,Jessica repays their debt.,Jessica does not repay their debt.,Jessica may or may not repay their debt.
"If John provides a $1000 loan to Jessica, then John will receive a 5% interest payment annually from Jessica
John provides a $1000 loan to Jessica

What necessarily had to follow assuming that the above premises were true?
(a) John will receive a 5% interest payment annually from Jessica
(b) John will not receive a 5% interest payment annually from Jessica
(c) John may or may not receive a 5% interest payment annually from Jessica",a,ponens,If-Event-Then-Event,122,210-strong,John will receive a 5% interest payment annually from Jessica.,John will not receive a 5% interest payment annually from Jessica.,John may or may not receive a 5% interest payment annually from Jessica.
"If John provides Jessica with a $1,000 grant, then Jessica will be able to spend the $1,000 on office supplies
John provides Jessica with a $1,000 grant

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will be able to spend the $1,000 on office supplies
(b) Jessica will not be able to spend the $1,000 on office supplies
(c) Jessica may or may not be able to spend the $1,000 on office supplies",a,ponens,If-Event-Then-Event,122,211-strong,"Jessica will be able to spend the $1,000 on office supplies.","Jessica will not be able to spend the $1,000 on office supplies.","Jessica may or may not be able to spend the $1,000 on office supplies."
"If John, the bank manager, orders a cashier to refund, then Jessica, the customer, will receive the refund
John, the bank manager, orders a cashier to refund

What necessarily had to follow assuming that the above premises were true?
(a) Jessica, the customer, will receive the refund
(b) Jessica, the customer, will not receive the refund
(c) Jessica, the customer, may or may not receive the refund",a,ponens,If-Event-Then-Event,122,212-strong,"Jessica, the customer, will receive the refund.","Jessica, the customer, will not receive the refund.","Jessica, the customer, may or may not receive the refund."
"If John demands a password attempt to verify account protection, then John seeks to recover their stolen wallet funds
John demands a password attempt to verify account protection

What necessarily had to follow assuming that the above premises were true?
(a) John seeks to recover their stolen wallet funds
(b) John does not seek to recover their stolen wallet funds
(c) John may or may not seek to recover their stolen wallet funds",a,ponens,If-Event-Then-Event,122,213-strong,John seeks to recover their stolen wallet funds,John does not seek to recover their stolen wallet funds,John may or may not seek to recover their stolen wallet funds
"If John issues $1,000 bonds to secure funds, then Jessica purchases them for investment returns
John issues $1,000 bonds to secure funds

What necessarily had to follow assuming that the above premises were true?
(a) Jessica purchases them for investment returns
(b) Jessica does not purchase them for investment returns
(c) Jessica may or may not purchase them for investment returns",a,ponens,If-Event-Then-Event,122,214-strong,Jessica purchases them for investment returns.,Jessica does not purchase them for investment returns.,Jessica may or may not purchase them for investment returns.
"If John publishes a quarterly earnings report, then Jessica will allocate funds to budgeted expenses
John publishes a quarterly earnings report

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will allocate funds to budgeted expenses
(b) Jessica will not allocate funds to budgeted expenses
(c) Jessica may or may not allocate funds to budgeted expenses",a,ponens,If-Event-Then-Event,122,215-strong,Jessica will allocate funds to budgeted expenses.,Jessica will not allocate funds to budgeted expenses.,Jessica may or may not allocate funds to budgeted expenses.
"If John conducts a security review of the financial records, then Jessica will return the borrowed $20
John conducts a security review of the financial records

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will return the borrowed $20
(b) Jessica will not return the borrowed $20
(c) Jessica may or may not return the borrowed $20",a,ponens,If-Event-Then-Event,122,216-strong,Jessica will return the borrowed $20.,Jessica will not return the borrowed $20.,Jessica may or may not return the borrowed $20.
"If John provides $1000, then Jessica must invest in a high-yield savings account
John provides $1000

What necessarily had to follow assuming that the above premises were true?
(a) Jessica must invest in a high-yield savings account
(b) Jessica must not invest in a high-yield savings account
(c) Jessica may or may not invest in a high-yield savings account",a,ponens,If-Event-Then-Event,123,217-strong,Jessica must invest in a high-yield savings account.,Jessica must not invest in a high-yield savings account.,Jessica may or may not invest in a high-yield savings account.
"If John writes a cheque for $1 million, then John is a millionaire
John writes a cheque for $1 million

What necessarily had to follow assuming that the above premises were true?
(a) John is a millionaire
(b) John is not a millionaire
(c) John may or may not be a millionaire",a,ponens,If-Event-Then-Event,123,218-strong,John is a millionaire.,John is not a millionaire.,John may or may not be a millionaire.
"If John, an amateur investor, gives stock tips, then Jessica, a friend seeking advice, plans to buy shares
John, an amateur investor, gives stock tips

What necessarily had to follow assuming that the above premises were true?
(a) Jessica, a friend seeking advice, plans to buy shares
(b) Jessica, a friend seeking advice, does not plan to buy shares
(c) Jessica, a friend seeking advice, may or may not plan to buy shares",a,ponens,If-Event-Then-Event,123,219-strong,"Jessica, a friend seeking advice, plans to buy shares.","Jessica, a friend seeking advice, does not plan to buy shares.","Jessica, a friend seeking advice, may or may not plan to buy shares."
"If John shares expert financial tips within their professional expertise, then John becomes affluent
John shares expert financial tips within their professional expertise

What necessarily had to follow assuming that the above premises were true?
(a) John becomes affluent
(b) John does not become affluent
(c) John may or may not become affluent",a,ponens,If-Event-Then-Event,123,220-strong,John becomes affluent.,John does not become affluent.,John may or may not become affluent.
"If John prints 50 training certificates to tally participant completion, then they distribute them to Jessica, the course attendees
John prints 50 training certificates to tally participant completion

What necessarily had to follow assuming that the above premises were true?
(a) They distribute them to Jessica, the course attendees
(b) They do not distribute them to Jessica, the course attendees
(c) They may or may not distribute them to Jessica, the course attendees",a,ponens,If-Event-Then-Event,124,221-strong,"They distribute them to Jessica, the course attendees","They do not distribute them to Jessica, the course attendees","They may or may not distribute them to Jessica, the course attendees"
"If John issues ten math exam certificates, then John can issue five physics exam certificates
John issues ten math exam certificates

What necessarily had to follow assuming that the above premises were true?
(a) John can issue five physics exam certificates
(b) John cannot issue five physics exam certificates
(c) John may or may not issue five physics exam certificates",a,ponens,If-Event-Then-Event,124,222-strong,John can issue five physics exam certificates,John cannot issue five physics exam certificates,John may or may not issue five physics exam certificates
"If John provides Jessica with a calculator for their math homework, then Jessica will express gratitude to John
John provides Jessica with a calculator for their math homework

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will express gratitude to John
(b) Jessica will not express gratitude to John
(c) Jessica may or may not express gratitude to John",a,ponens,If-Event-Then-Event,124,223-strong,Jessica will express gratitude to John.,Jessica will not express gratitude to John.,Jessica may or may not express gratitude to John.
"If John issues exactly 10 math certificates, then Jessica will distribute those 10 certificates to students
John issues exactly 10 math certificates

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will distribute those 10 certificates to students
(b) Jessica will not distribute those 10 certificates to students
(c) Jessica may or may not distribute those 10 certificates to students",a,ponens,If-Event-Then-Event,124,224-strong,Jessica will distribute those 10 certificates to students,Jessica will not distribute those 10 certificates to students,Jessica may or may not distribute those 10 certificates to students
"If John prints 10 certificates, then John will hand them to Jessica
John prints 10 certificates

What necessarily had to follow assuming that the above premises were true?
(a) John will hand them to Jessica
(b) John will not hand them to Jessica
(c) John may or may not hand them to Jessica",a,ponens,If-Event-Then-Event,124,225-strong,John will hand them to Jessica,John will not hand them to Jessica,John may or may not hand them to Jessica
"If John handwrites three gift certificates, then John distributes exactly three gift certificates to customers
John handwrites three gift certificates

What necessarily had to follow assuming that the above premises were true?
(a) John distributes exactly three gift certificates to customers
(b) John does not distribute exactly three gift certificates to customers
(c) John may or may not distribute exactly three gift certificates to customers",a,ponens,If-Event-Then-Event,124,226-strong,John distributes exactly three gift certificates to customers,John does not distribute exactly three gift certificates to customers,John may or may not distribute exactly three gift certificates to customers
"If John issues five certificates, then Jessica will send a thank you email to John
John issues five certificates

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will send a thank you email to John
(b) Jessica will not send a thank you email to John
(c) Jessica may or may not send a thank you email to John",a,ponens,If-Event-Then-Event,124,227-strong,Jessica will send a thank you email to John,Jessica will not send a thank you email to John,Jessica may or may not send a thank you email to John
"If John prints 100 training certificates, then Jessica will distribute the 100 certificates to the participants
John prints 100 training certificates

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will distribute the 100 certificates to the participants. 
(b) Jessica will not distribute the 100 certificates to the participants. 
(c) Jessica may or may not distribute the 100 certificates to the participants",a,ponens,If-Event-Then-Event,124,228-strong,Jessica will distribute the 100 certificates to the participants. ,Jessica will not distribute the 100 certificates to the participants. ,Jessica may or may not distribute the 100 certificates to the participants.
"If John waits a few seconds to get his coffee, then he becomes very angry
John waits a few seconds to get his coffee

What necessarily had to follow assuming that the above premises were true?
(a) He becomes very angry
(b) He does not become very angry
(c) He may or may not become very angry",a,ponens,If-Event-Then-MentalState,128,229-strong,He becomes very angry.,He does not become very angry.,He may or may not become very angry.
"If John is content, then John complies willingly
John is content

What necessarily had to follow assuming that the above premises were true?
(a) John complies willingly
(b) John does not comply willingly
(c) John may or may not comply willingly",a,ponens,If-Event-Then-MentalState,138,230-strong,John complies willingly.,John does not comply willingly.,John may or may not comply willingly.
"If John follows traffic signals, then John avoids traffic fines
John follows traffic signals

What necessarily had to follow assuming that the above premises were true?
(a) John avoids traffic fines
(b) John does not avoid traffic fines
(c) John may or may not avoid traffic fines",a,ponens,If-Event-Then-MentalState,139,231-strong,John avoids traffic fines.,John does not avoid traffic fines.,John may or may not avoid traffic fines.
