questions,ground_truth,modus,types_of_relation,agreement_lv,atomic_idx,dataset_id,a,b,c
"If John becomes the queen by marrying the prince, then Jessica will purchase a house in the countryside
John becomes the queen by marrying the prince
If property taxes in the city rise significantly upon the commencement of John's reign then Jessica will purchase a house in the countryside

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will purchase a house in the countryside
(b) Jessica will not purchase a house in the countryside
(c) Jessica may or may not purchase a house in the countryside",c,ponens,If-Event-Then-Event,5,537,848-strong,Jessica will purchase a house in the countryside.,Jessica will not purchase a house in the countryside.,Jessica may or may not purchase a house in the countryside.
"If John weds the prince, then they may hold a wedding and conceive
John weds the prince
If John and Jessica exchange heartfelt vows under the kingdom's sacred oak then they may hold a wedding and conceive

What necessarily had to follow assuming that the above premises were true?
(a) They may hold a wedding and conceive
(b) They may not hold a wedding and conceive
(c) They may or may not hold a wedding and conceive",c,ponens,If-Event-Then-Event,4,537,849-strong,They may hold a wedding and conceive.,They may not hold a wedding and conceive.,They may or may not hold a wedding and conceive.
"If John marries Princess Anne, then John can buy a cottage
John marries Princess Anne
If John receives a substantial dowry from Jessica's royal estate then John can buy a cottage

What necessarily had to follow assuming that the above premises were true?
(a) John can buy a cottage
(b) John cannot buy a cottage
(c) John may or may not buy a cottage",c,ponens,If-Event-Then-Event,5,537,850-strong,John can buy a cottage.,John cannot buy a cottage.,John may or may not buy a cottage.
"If John weds the princess, then they may hold a wedding and conceive
John weds the princess
If John and Jessica exchange vows of eternal partnership before their loved ones then they may hold a wedding and conceive

What necessarily had to follow assuming that the above premises were true?
(a) They may hold a wedding and conceive
(b) They may not hold a wedding and conceive
(c) They may or may not hold a wedding and conceive",c,ponens,If-Event-Then-Event,4,537,851-strong,They may hold a wedding and conceive.,They may not hold a wedding and conceive.,They may or may not hold a wedding and conceive.
"If John becomes the spouse of the prince, then Jessica will purchase a house
John becomes the spouse of the prince
If John acquires a significant dowry from a royal marriage then Jessica will purchase a house

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will purchase a house
(b) Jessica will not purchase a house
(c) Jessica may or may not purchase a house",c,ponens,If-Event-Then-Event,4,537,852-strong,Jessica will purchase a house.,Jessica will not purchase a house.,Jessica may or may not purchase a house.
"If John proposes to Prince John, then John marries Prince John and they have a honeymoon in Paris
John proposes to Prince John
If Prince John accepts John's proposal and they both choose France for their getaway then John marries Prince John and they have a honeymoon in Paris

What necessarily had to follow assuming that the above premises were true?
(a) John marries Prince John and they have a honeymoon in Paris
(b) John does not marry Prince John and they do not have a honeymoon in Paris
(c) John may or may not marry Prince John and they may or may not have a honeymoon in Paris",c,ponens,If-Event-Then-Event,4,538,853-strong,John marries Prince John and they have a honeymoon in Paris.,John does not marry Prince John and they do not have a honeymoon in Paris.,John may or may not marry Prince John and they may or may not have a honeymoon in Paris.
"If John asks the prince/princess to marry them, then John becomes their spouse and receives presents
John asks the prince/princess to marry them
If Jessica gives her hand in marriage to John then John becomes their spouse and receives presents

What necessarily had to follow assuming that the above premises were true?
(a) John becomes their spouse and receives presents
(b) John does not become their spouse and receives presents
(c) John may or may not become their spouse and may or may not receive presents",c,ponens,If-Event-Then-Event,5,538,854-strong,John becomes their spouse and receives presents.,John does not become their spouse and receives presents.,John may or may not become their spouse and may or may not receive presents.
"If John proposes to Prince Aldrich, then Jessica marries Lady Elara
John proposes to Prince Aldrich
If Lady Elara declines an engagement with Duke Harrington then Jessica marries Lady Elara

What necessarily had to follow assuming that the above premises were true?
(a) Jessica marries Lady Elara
(b) Jessica does not marry Lady Elara
(c) Jessica may or may not marry Lady Elara",c,ponens,If-Event-Then-Event,4,538,855-strong,Jessica marries Lady Elara.,Jessica does not marry Lady Elara.,Jessica may or may not marry Lady Elara.
"If John proposes to the king's daughter, then John marries the king's daughter and causes Jessica to go on a honeymoon
John proposes to the king's daughter
If the queen demands her daughter's suitor marry her immediately and send her best friend on a romantic getaway then John marries the king's daughter and causes Jessica to go on a honeymoon

What necessarily had to follow assuming that the above premises were true?
(a) John marries the king's daughter and causes Jessica to go on a honeymoon
(b) John does not marry the king's daughter and does not cause Jessica to go on a honeymoon
(c) John may or may not marry the king's daughter and may or may not cause Jessica to go on a honeymoon",c,ponens,If-Event-Then-Event,5,538,856-strong,John marries the king's daughter and causes Jessica to go on a honeymoon.,John does not marry the king's daughter and does not cause Jessica to go on a honeymoon.,John may or may not marry the king's daughter and may or may not cause Jessica to go on a honeymoon.
"If John purchases a diamond ring from the Royal Jeweler, then John will wed Prince William, the king's son, and subsequently enjoy a honeymoon in Paris
John purchases a diamond ring from the Royal Jeweler
If John receives the Queen's blessing and a royal wedding date is announced at Buckingham Palace then John will wed Prince William, the king's son, and subsequently enjoy a honeymoon in Paris

What necessarily had to follow assuming that the above premises were true?
(a) John will wed Prince William, the king's son, and subsequently enjoy a honeymoon in Paris
(b) John will not wed Prince William, the king's son, and subsequently enjoy a honeymoon in Paris
(c) John may or may not wed Prince William, the king's son, and subsequently enjoy a honeymoon in Paris",c,ponens,If-Event-Then-Event,4,538,857-strong,"John will wed Prince William, the king's son, and subsequently enjoy a honeymoon in Paris.","John will not wed Prince William, the king's son, and subsequently enjoy a honeymoon in Paris.","John may or may not wed Prince William, the king's son, and subsequently enjoy a honeymoon in Paris."
"If John purchases a diamond ring, then John weds Jessica, the princess, for the dowry
John purchases a diamond ring
If John seeks to secure the wealth of the kingdom of Valoria then John weds Jessica, the princess, for the dowry

What necessarily had to follow assuming that the above premises were true?
(a) John weds Jessica, the princess, for the dowry
(b) John does not wed Jessica, the princess, for the dowry
(c) John may or may not wed Jessica, the princess, for the dowry",c,ponens,If-Event-Then-Event,5,538,858-strong,"John weds Jessica, the princess, for the dowry.","John does not wed Jessica, the princess, for the dowry.","John may or may not wed Jessica, the princess, for the dowry."
"If John purchasing a wedding ring, then John wedding Jessica, the princess
John purchasing a wedding ring
If John receives the royal family's blessing then John wedding Jessica, the princess

What necessarily had to follow assuming that the above premises were true?
(a) John is wedding Jessica, the princess. 
(b) John is not wedding Jessica, the princess. 
(c) John may or may not be wedding Jessica, the princess",c,ponens,If-Event-Then-Event,4,538,859-strong,"John is wedding Jessica, the princess. ","John is not wedding Jessica, the princess. ","John may or may not be wedding Jessica, the princess."
"If John purchases a diamond wedding ring, then John will wed the prince/princess and ensure Jessica takes a seaside honeymoon trip
John purchases a diamond wedding ring
If John receives the royal family's consent to the marriage proposal then John will wed the prince/princess and ensure Jessica takes a seaside honeymoon trip

What necessarily had to follow assuming that the above premises were true?
(a) John will wed the prince/princess and ensure Jessica takes a seaside honeymoon trip
(b) John will not wed the prince/princess and ensure Jessica takes a seaside honeymoon trip
(c) John may or may not wed the prince/princess and may or may not ensure Jessica takes a seaside honeymoon trip",c,ponens,If-Event-Then-Event,5,538,860-strong,John will wed the prince/princess and ensure Jessica takes a seaside honeymoon trip.,John will not wed the prince/princess and ensure Jessica takes a seaside honeymoon trip.,John may or may not wed the prince/princess and may or may not ensure Jessica takes a seaside honeymoon trip.
"If John focuses on listening, then John listens carefully
John focuses on listening
If Jessica is sharing a detailed account of her day and John nods and responds appropriately to complex points she makes then John listens carefully

What necessarily had to follow assuming that the above premises were true?
(a) John listens carefully
(b) John does not listen carefully
(c) John may or may not listen carefully",c,ponens,If-Event-Then-MentalState,5,542,861-strong,John listens carefully.,John does not listen carefully.,John may or may not listen carefully.
"If John learns facts, then John will jot them down
John learns facts
If Jessica imparts key dates and locations to John then John will jot them down

What necessarily had to follow assuming that the above premises were true?
(a) John will jot them down
(b) John will not jot them down
(c) John may or may not jot them down",c,ponens,If-Event-Then-Event,5,546,862-strong,John will jot them down.,John will not jot them down.,John may or may not jot them down.
"If John learns about the facts, then John will share those facts with others
John learns about the facts
If John receives a message from trusted confidante Jessica detailing critical updates on a project they are both passionate about then John will share those facts with others

What necessarily had to follow assuming that the above premises were true?
(a) John will share those facts with others. 
(b) John will not share those facts with others. 
(c) John may or may not share those facts with others",c,ponens,If-Event-Then-Event,5,546,863-strong,John will share those facts with others. ,John will not share those facts with others. ,John may or may not share those facts with others.
"If John listens carefully to Jessica's argument, then John takes notes on Jessica's points
John listens carefully to Jessica's argument
If John is determined to remember every detail of what Jessica explains then John takes notes on Jessica's points

What necessarily had to follow assuming that the above premises were true?
(a) John takes notes on Jessica's points
(b) John does not take notes on Jessica's points
(c) John may or may not take notes on Jessica's points",c,ponens,If-Event-Then-Event,5,546,864-strong,John takes notes on Jessica's points.,John does not take notes on Jessica's points.,John may or may not take notes on Jessica's points.
"If John listens respectfully to the specific data provided by the speaker, then John will share that exact data with their peers
John listens respectfully to the specific data provided by the speaker
If Jessica entrusts John with confidential information during a critical team meeting then John will share that exact data with their peers

What necessarily had to follow assuming that the above premises were true?
(a) John will share that exact data with their peers
(b) John will not share that exact data with their peers
(c) John may or may not share that exact data with their peers",c,ponens,If-Event-Then-Event,5,546,865-strong,John will share that exact data with their peers,John will not share that exact data with their peers,John may or may not share that exact data with their peers
"If John reads a book, then John speaks with Jessica
John reads a book
If John discovers a typo in the novel he is reading then John speaks with Jessica

What necessarily had to follow assuming that the above premises were true?
(a) John speaks with Jessica
(b) John does not speak with Jessica
(c) John may or may not speak with Jessica",c,ponens,If-Event-Then-Event,5,547,866-strong,John speaks with Jessica.,John does not speak with Jessica.,John may or may not speak with Jessica.
"If John researches information, then John aims to argue
John researches information
If John meticulously compiles data on a contentious topic while anticipating a discussion with Jessica then John aims to argue

What necessarily had to follow assuming that the above premises were true?
(a) John aims to argue
(b) John does not aim to argue
(c) John may or may not aim to argue",c,ponens,If-Event-Then-Event,5,547,867-strong,John aims to argue.,John does not aim to argue.,John may or may not aim to argue.
"If John notices a problem, then John speaks with Jessica
John notices a problem
If the printer at John's office jams again then John speaks with Jessica

What necessarily had to follow assuming that the above premises were true?
(a) John speaks with Jessica
(b) John does not speak with Jessica
(c) John may or may not speak with Jessica",c,ponens,If-Event-Then-Event,4,547,868-strong,John speaks with Jessica.,John does not speak with Jessica.,John may or may not speak with Jessica.
"If John notices the mistake in the contract, then the meeting might end in an argument over the terms
John notices the mistake in the contract
If Jessica insists on strict adherence to the original agreement despite John's concerns then the meeting might end in an argument over the terms

What necessarily had to follow assuming that the above premises were true?
(a) The meeting might end in an argument over the terms
(b) The meeting might not end in an argument over the terms
(c) The meeting may or may not end in an argument over the terms",c,ponens,If-Event-Then-Event,5,547,869-strong,The meeting might end in an argument over the terms.,The meeting might not end in an argument over the terms.,The meeting may or may not end in an argument over the terms.
"If John gives one apple to Jessica to have the same number of apples, then John will smile
John gives one apple to Jessica to have the same number of apples
If John sees his generosity make Jessica happy then John will smile

What necessarily had to follow assuming that the above premises were true?
(a) John will smile
(b) John will not smile
(c) John may or may not smile",c,ponens,If-Event-Then-MentalState,4,561,870-strong,John will smile.,John will not smile.,John may or may not smile.
"If John balances the seesaw with Jessica, then John will smile
John balances the seesaw with Jessica
If John finds his equilibrium with Jessica then John will smile

What necessarily had to follow assuming that the above premises were true?
(a) John will smile
(b) John will not smile
(c) John may or may not smile",c,ponens,If-Event-Then-MentalState,4,561,871-strong,John will smile.,John will not smile.,John may or may not smile.
"If John solves the problem, then Jessica smiles
John solves the problem
If John finds the missing piece to complete his puzzle then Jessica smiles

What necessarily had to follow assuming that the above premises were true?
(a) Jessica smiles
(b) Jessica does not smile
(c) Jessica may or may not smile",c,ponens,If-Event-Then-MentalState,4,561,872-strong,Jessica smiles.,Jessica does not smile.,Jessica may or may not smile.
"If John eliminates the income gap, then Jessica feels cherished
John eliminates the income gap
If John dedicates every weekend to teach Jessica new skills for career advancement then Jessica feels cherished

What necessarily had to follow assuming that the above premises were true?
(a) Jessica feels cherished
(b) Jessica does not feel cherished
(c) Jessica may or may not feel cherished",c,ponens,If-Event-Then-MentalState,5,561,873-strong,Jessica feels cherished.,Jessica does not feel cherished.,Jessica may or may not feel cherished.
"If John decreases stress enough to solve fewer problems, then John feels joy
John decreases stress enough to solve fewer problems
If John finishes his work early enough to spend the evening with Jessica then John feels joy

What necessarily had to follow assuming that the above premises were true?
(a) John feels joy
(b) John does not feel joy
(c) John may or may not feel joy",c,ponens,If-Event-Then-MentalState,5,561,874-strong,John feels joy.,John does not feel joy.,John may or may not feel joy.
"If John solves enough puzzles, then John feels happy
John solves enough puzzles
If Jessica compliments John on his problem-solving skills then John feels happy

What necessarily had to follow assuming that the above premises were true?
(a) John feels happy
(b) John does not feel happy
(c) John may or may not feel happy",c,ponens,If-Event-Then-MentalState,5,561,875-strong,John feels happy.,John does not feel happy.,John may or may not feel happy.
"If John solves the math equation, then Jessica smiles
John solves the math equation
If the teacher announces a perfect score for the latest test then Jessica smiles

What necessarily had to follow assuming that the above premises were true?
(a) Jessica smiles
(b) Jessica does not smile
(c) Jessica may or may not smile",c,ponens,If-Event-Then-MentalState,5,561,876-strong,Jessica smiles.,Jessica does not smile.,Jessica may or may not smile.
"If John solves puzzles quickly, then Jessica feels happy
John solves puzzles quickly
If Jessica's beloved pet parrot, which only cheers up when sensing joy, starts singing melodiously then Jessica feels happy

What necessarily had to follow assuming that the above premises were true?
(a) Jessica feels happy
(b) Jessica does not feel happy
(c) Jessica may or may not feel happy",c,ponens,If-Event-Then-MentalState,5,561,877-strong,Jessica feels happy.,Jessica does not feel happy.,Jessica may or may not feel happy.
"If John turns off the television, then John finishes the report
John turns off the television
If Jessica reminds John about the impending deadline for his work then John finishes the report

What necessarily had to follow assuming that the above premises were true?
(a) John finishes the report
(b) John does not finish the report
(c) John may or may not finish the report",c,ponens,If-Event-Then-MentalState,4,562,879-strong,John finishes the report.,John does not finish the report.,John may or may not finish the report.
"If John lowers a hurdle low enough to step over, then John can walk past it
John lowers a hurdle low enough to step over
If the barrier in front of John is only as high as his knees then John can walk past it

What necessarily had to follow assuming that the above premises were true?
(a) John can walk past it
(b) John cannot walk past it
(c) John may or may not be able to walk past it",c,ponens,If-Event-Then-MentalState,5,562,880-strong,John can walk past it.,John cannot walk past it.,John may or may not be able to walk past it.
"If John turns down the music volume to help Jessica study, then John becomes supportive
John turns down the music volume to help Jessica study
If John notices Jessica's concentration breaking due to loud noises and adjusts the noise level accordingly then John becomes supportive

What necessarily had to follow assuming that the above premises were true?
(a) John becomes supportive
(b) John does not become supportive
(c) John may or may not become supportive",c,ponens,If-Event-Then-MentalState,5,562,881-strong,John becomes supportive.,John does not become supportive.,John may or may not become supportive.
"If John turns off their phone notifications, then John finishes their report faster
John turns off their phone notifications
If John eliminates all distractions from his environment then John finishes their report faster

What necessarily had to follow assuming that the above premises were true?
(a) John finishes their report faster
(b) John does not finish their report faster
(c) John may or may not finish their report faster",c,ponens,If-Event-Then-MentalState,5,562,882-strong,John finishes their report faster,John does not finish their report faster,John may or may not finish their report faster
"If John lowers their stress below 50% of their current level, then John will feel better
John lowers their stress below 50% of their current level
If Jessica teaches John meditation techniques then John will feel better

What necessarily had to follow assuming that the above premises were true?
(a) John will feel better
(b) John will not feel better
(c) John may or may not feel better",c,ponens,If-Event-Then-MentalState,5,562,883-strong,John will feel better.,John will not feel better.,John may or may not feel better.
"If John turns off their phone, then Jessica starts writing a report
John turns off their phone
If all communication devices are silenced for uninterrupted focus then Jessica starts writing a report

What necessarily had to follow assuming that the above premises were true?
(a) Jessica starts writing a report
(b) Jessica does not start writing a report
(c) Jessica may or may not start writing a report",c,ponens,If-Event-Then-MentalState,4,562,884-strong,Jessica starts writing a report.,Jessica does not start writing a report.,Jessica may or may not start writing a report.
"If John turns off their phone, then John will focus on work
John turns off their phone
If Jessica takes over all of John's appointments and distractions for the day then John will focus on work

What necessarily had to follow assuming that the above premises were true?
(a) John will focus on work
(b) John will not focus on work
(c) John may or may not focus on work",c,ponens,If-Event-Then-MentalState,5,562,885-strong,John will focus on work.,John will not focus on work.,John may or may not focus on work.
"If John turns off their phone notifications while working, then John will focus better
John turns off their phone notifications while working
If Jessica stops interrupting John with small talk every five minutes then John will focus better

What necessarily had to follow assuming that the above premises were true?
(a) John will focus better
(b) John will not focus better
(c) John may or may not focus better",c,ponens,If-Event-Then-MentalState,4,562,886-strong,John will focus better,John will not focus better,John may or may not focus better
"If John studies regularly, then John reduces the complexity of the material to a level that allows him to carry on with his research
John studies regularly
If John receives expert guidance from Jessica in understanding advanced quantum mechanics theories then John reduces the complexity of the material to a level that allows him to carry on with his research

What necessarily had to follow assuming that the above premises were true?
(a) John reduces the complexity of the material to a level that allows him to carry on with his research
(b) John does not reduce the complexity of the material to a level that allows him to carry on with his research
(c) John may or may not reduce the complexity of the material to a level that allows him to carry on with his research",c,ponens,If-Event-Then-Event,5,565,887-strong,John reduces the complexity of the material to a level that allows him to carry on with his research.,John does not reduce the complexity of the material to a level that allows him to carry on with his research.,John may or may not reduce the complexity of the material to a level that allows him to carry on with his research.
"If John cuts their daily screen time to 1 hour, then John will start sleeping better
John cuts their daily screen time to 1 hour
If John replaces evening electronic device usage with reading a book then John will start sleeping better

What necessarily had to follow assuming that the above premises were true?
(a) John will start sleeping better
(b) John will not start sleeping better
(c) John may or may not start sleeping better",c,ponens,If-Event-Then-Event,5,565,888-strong,John will start sleeping better.,John will not start sleeping better.,John may or may not start sleeping better.
"If John lowers the volume of their radio, then Jessica decides to start a conversation
John lowers the volume of their radio
If John makes the room quieter then Jessica decides to start a conversation

What necessarily had to follow assuming that the above premises were true?
(a) Jessica decides to start a conversation
(b) Jessica decides not to start a conversation
(c) Jessica may or may not decide to start a conversation",c,ponens,If-Event-Then-Event,6,565,890-strong,Jessica decides to start a conversation.,Jessica decides not to start a conversation.,Jessica may or may not decide to start a conversation.
"If John activates the machine, then John adjusts the dial to stabilize the temperature
John activates the machine
If the system sensors indicate a fluctuating thermal output then John adjusts the dial to stabilize the temperature

What necessarily had to follow assuming that the above premises were true?
(a) John adjusts the dial to stabilize the temperature
(b) John does not adjust the dial to stabilize the temperature
(c) John may or may not adjust the dial to stabilize the temperature",c,ponens,If-Event-Then-Event,5,566,891-strong,John adjusts the dial to stabilize the temperature.,John does not adjust the dial to stabilize the temperature.,John may or may not adjust the dial to stabilize the temperature.
"If John initiates the procedure, then John depletes the chemical to a point that halts the procedure
John initiates the procedure
If Jessica confirms the activation of the system then John depletes the chemical to a point that halts the procedure

What necessarily had to follow assuming that the above premises were true?
(a) John depletes the chemical to a point that halts the procedure
(b) John does not deplete the chemical to a point that halts the procedure
(c) John may or may not deplete the chemical to a point that halts the procedure",c,ponens,If-Event-Then-Event,5,566,892-strong,John depletes the chemical to a point that halts the procedure.,John does not deplete the chemical to a point that halts the procedure.,John may or may not deplete the chemical to a point that halts the procedure.
"If John wants to keep the room temperature constant, then John turns down the heater
John wants to keep the room temperature constant
If the room starts to get warmer because Jessica has opened the curtains letting in sunshine then John turns down the heater

What necessarily had to follow assuming that the above premises were true?
(a) John turns down the heater
(b) John does not turn down the heater
(c) John may or may not turn down the heater",c,ponens,If-Event-Then-Event,5,566,893-strong,John turns down the heater.,John does not turn down the heater.,John may or may not turn down the heater.
"If John increases the temperature to 100 degrees, then John reduces the volume to 1 liter, ending the process
John increases the temperature to 100 degrees
If the container's contents reach a boiling state and Jessica confirms the completion of phase transition then John reduces the volume to 1 liter, ending the process

What necessarily had to follow assuming that the above premises were true?
(a) John reduces the volume to 1 liter, ending the process
(b) John does not reduce the volume to 1 liter, ending the process
(c) John reduces the volume to 1 liter, ending the process or may not reduce the volume to 1 liter, ending the process",c,ponens,If-Event-Then-Event,6,566,894-strong,"John reduces the volume to 1 liter, ending the process.","John does not reduce the volume to 1 liter, ending the process.","John reduces the volume to 1 liter, ending the process or may not reduce the volume to 1 liter, ending the process."
"If John has a burned-out light bulb, then John replaces it with a new bulb
John has a burned-out light bulb
If John notices the room is darker than usual and Jessica confirms the lamp no longer works then John replaces it with a new bulb

What necessarily had to follow assuming that the above premises were true?
(a) John replaces it with a new bulb
(b) John does not replace it with a new bulb
(c) John may or may not replace it with a new bulb",c,ponens,If-Event-Then-Event,4,567,895-strong,John replaces it with a new bulb.,John does not replace it with a new bulb.,John may or may not replace it with a new bulb.
"If John owns a dull knife, then John sharpens the blade slightly
John owns a dull knife
If Jessica notices John struggling to cut through a ripe tomato without squashing it then John sharpens the blade slightly

What necessarily had to follow assuming that the above premises were true?
(a) John sharpens the blade slightly
(b) John does not sharpen the blade slightly
(c) John may or may not sharpen the blade slightly",c,ponens,If-Event-Then-Event,5,567,896-strong,John sharpens the blade slightly,John does not sharpen the blade slightly,John may or may not sharpen the blade slightly
"If John has a spare bulb, then John replaces the burnt-out bulb in the lamp
John has a spare bulb
If the lamp in Jessica's office stops working and John is responsible for maintenance then John replaces the burnt-out bulb in the lamp

What necessarily had to follow assuming that the above premises were true?
(a) John replaces the burnt-out bulb in the lamp
(b) John does not replace the burnt-out bulb in the lamp
(c) John may or may not replace the burnt-out bulb in the lamp",c,ponens,If-Event-Then-Event,5,567,897-strong,John replaces the burnt-out bulb in the lamp.,John does not replace the burnt-out bulb in the lamp.,John may or may not replace the burnt-out bulb in the lamp.
"If John has earplods, then John lowers the music volume
John has earplods
If Jessica politely hints that the music is too loud for a quiet environment then John lowers the music volume

What necessarily had to follow assuming that the above premises were true?
(a) John lowers the music volume
(b) John does not lower the music volume
(c) John may or may not lower the music volume",c,ponens,If-Event-Then-Event,5,567,898-strong,John lowers the music volume.,John does not lower the music volume.,John may or may not lower the music volume.
"If John follows Jessica's tip expecting a profit, then John feels satisfied
John follows Jessica's tip expecting a profit
If John sees his investment double after following stock advice from Jessica then John feels satisfied

What necessarily had to follow assuming that the above premises were true?
(a) John feels satisfied
(b) John does not feel satisfied
(c) John may or may not feel satisfied",c,ponens,If-Event-Then-MentalState,4,572,899-strong,John feels satisfied.,John does not feel satisfied.,John may or may not feel satisfied.
"If John mirrors Jessica's chess opening, then John will better understand Jessica's strategy
John mirrors Jessica's chess opening
If John studies the same tactical patterns and positions that Jessica frequently employs in her games then John will better understand Jessica's strategy

What necessarily had to follow assuming that the above premises were true?
(a) John will better understand Jessica's strategy
(b) John will not better understand Jessica's strategy
(c) John may or may not better understand Jessica's strategy",c,ponens,If-Event-Then-Event,5,575,900-strong,John will better understand Jessica's strategy.,John will not better understand Jessica's strategy.,John may or may not better understand Jessica's strategy.
"If John oversteps Jessica's ability to see the event, then John can control the event
John oversteps Jessica's ability to see the event
If John has exclusive access to the event's planning and execution details while Jessica does not then John can control the event

What necessarily had to follow assuming that the above premises were true?
(a) John can control the event
(b) John cannot control the event
(c) John may or may not control the event",c,ponens,If-Event-Then-Event,5,575,901-strong,John can control the event.,John cannot control the event.,John may or may not control the event.
"If John follows the rules of chess as played by Jessica to understand the strategy, then Jessica obtains a strategic upper hand
John follows the rules of chess as played by Jessica to understand the strategy
If John constantly reacts to Jessica's moves without anticipating future plays then Jessica obtains a strategic upper hand

What necessarily had to follow assuming that the above premises were true?
(a) Jessica obtains a strategic upper hand
(b) Jessica does not obtain a strategic upper hand
(c) Jessica may or may not obtain a strategic upper hand",c,ponens,If-Event-Then-Event,5,575,902-strong,Jessica obtains a strategic upper hand.,Jessica does not obtain a strategic upper hand.,Jessica may or may not obtain a strategic upper hand.
"If John follows Jessica's game rules closely, then Jessica recognizes John's compliance
John follows Jessica's game rules closely
If John adheres to every directive issued by Jessica during their chess matches then Jessica recognizes John's compliance

What necessarily had to follow assuming that the above premises were true?
(a) Jessica recognizes John's compliance
(b) Jessica does not recognize John's compliance
(c) Jessica may or may not recognize John's compliance",c,ponens,If-Event-Then-Event,5,575,903-strong,Jessica recognizes John's compliance.,Jessica does not recognize John's compliance.,Jessica may or may not recognize John's compliance.
"If John comprehends Jessica's chess strategies, then John has a better chance of winning
John comprehends Jessica's chess strategies
If John consistently anticipates and counters Jessica's opening moves and defenses in previous matches then John has a better chance of winning

What necessarily had to follow assuming that the above premises were true?
(a) John has a better chance of winning
(b) John does not have a better chance of winning
(c) John may or may not have a better chance of winning",c,ponens,If-Event-Then-Event,5,575,904-strong,John has a better chance of winning.,John does not have a better chance of winning.,John may or may not have a better chance of winning.
"If John acts as a goalkeeper like Jessica to learn defense, then Jessica benefits on the field
John acts as a goalkeeper like Jessica to learn defense
If John improves his shot-stopping skills under Jessica's mentorship then Jessica benefits on the field

What necessarily had to follow assuming that the above premises were true?
(a) Jessica benefits on the field
(b) Jessica does not benefit on the field
(c) Jessica may or may not benefit on the field",c,ponens,If-Event-Then-Event,4,575,906-strong,Jessica benefits on the field.,Jessica does not benefit on the field.,Jessica may or may not benefit on the field.
"If John successfully learns and plays the guitar chord progression of Jessica's favorite song, then Jessica will express gratitude to John
John successfully learns and plays the guitar chord progression of Jessica's favorite song
If John devotes time to mastering a skill that resonates deeply with Jessica's personal interests then Jessica will express gratitude to John

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will express gratitude to John
(b) Jessica will not express gratitude to John
(c) Jessica may or may not express gratitude to John",c,ponens,If-Event-Then-Event,5,576,908-strong,Jessica will express gratitude to John.,Jessica will not express gratitude to John.,Jessica may or may not express gratitude to John.
"If John learns and plays Jessica's favorite piano piece perfectly, then Jessica will bake John their favorite chocolate chip cookies
John learns and plays Jessica's favorite piano piece perfectly
If John surprises Jessica with a heartfelt rendition of ""Clair de Lune"" on her birthday then Jessica will bake John their favorite chocolate chip cookies

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will bake John their favorite chocolate chip cookies
(b) Jessica will not bake John their favorite chocolate chip cookies
(c) Jessica may or may not bake John their favorite chocolate chip cookies",c,ponens,If-Event-Then-Event,5,576,909-strong,Jessica will bake John their favorite chocolate chip cookies.,Jessica will not bake John their favorite chocolate chip cookies.,Jessica may or may not bake John their favorite chocolate chip cookies.
"If John successfully plays the piano version of ""Happy Birthday"" for Jessica, then Jessica will say, ""Thank you, that was lovely.""
John successfully plays the piano version of ""Happy Birthday"" for Jessica
If John serenades Jessica with a heartfelt melody on her special day then Jessica will say, ""Thank you, that was lovely.""

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will say, ""Thank you, that was lovely.""
(b) Jessica will not say, ""Thank you, that was lovely.""
(c) Jessica may or may not say, ""Thank you, that was lovely.""",c,ponens,If-Event-Then-Event,4,576,910-strong,"Jessica will say, ""Thank you, that was lovely.""","Jessica will not say, ""Thank you, that was lovely.""","Jessica may or may not say, ""Thank you, that was lovely."""
"If John plays Jessica's favorite lullaby on the piano correctly, then Jessica will bake John fresh cookies
John plays Jessica's favorite lullaby on the piano correctly
If he completes the 1000-piece jigsaw puzzle she gifted him then Jessica will bake John fresh cookies

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will bake John fresh cookies
(b) Jessica will not bake John fresh cookies
(c) Jessica may or may not bake John fresh cookies",c,ponens,If-Event-Then-Event,5,576,911-strong,Jessica will bake John fresh cookies.,Jessica will not bake John fresh cookies.,Jessica may or may not bake John fresh cookies.
"If John plays Jessica's favorite song, ""Imagine"" by John Lennon, then Jessica will say ""Thank you"" to John
John plays Jessica's favorite song, ""Imagine"" by John Lennon
If John performs a gesture that deeply resonates with Jessica's personal tastes then Jessica will say ""Thank you"" to John

What necessarily had to follow assuming that the above premises were true?
(a) Jessica will say ""Thank you"" to John
(b) Jessica will not say ""Thank you"" to John
(c) Jessica may or may not say ""Thank you"" to John",c,ponens,If-Event-Then-Event,5,576,912-strong,"Jessica will say ""Thank you"" to John.","Jessica will not say ""Thank you"" to John.","Jessica may or may not say ""Thank you"" to John."
